ID,Date,Title
46,20160913,"AvidXchange™ is Named to First-Ever Forbes 2016 World’s Best 100 Cloud Companies"
168,20161011,"AvidXchange™ is Named to 2016 Grant Thornton North Carolina 100® for 3rd Consecutive Year"
169,20161012,"AvidXchange™ Announced as Platinum Sponsor of MRI’s International User Conference for the Sixth Consecutive Year"
170,20161024,"AvidXchange CEO, Michael Praeger, to Speak at Money 20/20"
394,20160831,"AvidXchange Breaks 800-Employees with Record Year of Growth"
470,20161117,"AvidXchange™ Ranked Number 268th Fastest Growing Company in North America on Deloitte’s 2016 Technology Fast 500™"
471,20161111,"AvidXchange™ Receives Top Midsize Technology Company Award from the North Carolina Technology Association"
472,20160906,"AvidXchange™ Adds Strategic Leaders to Support Supplier Offerings"
1652,20151211,"AvidXchange™ Receives “Fast 50 Award” from the Charlotte Business Journal for the 5th Consecutive Year"
1653,20151120,"AvidXchange™ Receives “Best Places to Work Award” from The Charlotte Business Journal for the 7th Consecutive Year"
1654,20151116,"AvidXchange™ Listed on Deloitte’s 2015 Technology Fast 500™"
1655,20150923,"KeyBank Partners with AvidXchange to Provide Best-in-Class Payment Automation Solutions"
1657,20150914,"AvidXchange Closes $225 Million Minority Growth Financing Led by Bain Capital Ventures"
1658,20150804,"AvidXchange and Viewpoint Form Strategic Partnership to Deliver Payment Solutions to the Construction Industry"
1659,20150617,"AvidXchange Finalizes Acquisition of Strongroom Solutions"
1660,20141120,"AvidXchange Acquires Piracle Payment Management Software Company"
1661,20140915,"AvidXchange to Expand Corporate Operations In Charlotte, North Carolina"
1662,20140619,"AP and Payment Automation Solutions Now Available in Rent Manager via Avidxchange Integration"
1663,20130806,"AvidXchange Partners with Comdata Corporation to Offer Clients a Complete Bill Payment Solution"
2038,20160726,"AvidXchange™ Announces Title Sponsorship of Music Factory 5K Rock ‘N Run"
2039,20160830,"AvidXchange™ Application Certified By Acumatica"
2040,20160722,"AvidXchange’s CFO, Karen Bertaux, Wins Large Business Sector CFO of the Year Award from the Charlotte Business Journal"
2041,20160719,"Omatic Software and AvidXchange™ Announce Strategic Partnership"
